Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,class,who,adult_male,deck,embark_town,alive,alone,Title,FamilySize,IsAlone,FarePerPerson
1,3,0,28.5,0,0,56.4958,0,Third,man,True,,Southampton,yes,True,1,1,1,56.4958
0,2,0,28.5,0,0,0.0,0,Second,man,True,,Southampton,no,True,1,1,1,0.0
0,1,0,28.5,0,0,221.7792,0,First,man,True,C,Southampton,no,True,1,1,1,221.7792
1,3,1,18.0,0,1,9.35,0,Third,woman,False,,Southampton,yes,False,3,2,0,4.675
1,2,1,31.0,1,1,26.25,0,Second,woman,False,,Southampton,yes,False,3,3,0,8.75
0,3,0,21.0,0,0,8.4333,0,Third,man,True,,Southampton,no,True,1,1,1,8.4333
1,3,0,26.0,0,0,56.4958,0,Third,man,True,,Southampton,yes,True,1,1,1,56.4958
0,1,0,28.5,0,0,227.525,1,First,man,True,,Cherbourg,no,True,1,1,1,227.525
1,3,0,28.5,0,0,7.75,2,Third,man,True,,Queenstown,yes,True,1,1,1,7.75
0,3,1,31.0,1,0,18.0,0,Third,woman,False,,Southampton,no,False,3,2,0,9.0
1,1,0,56.0,0,0,35.5,1,First,man,True,A,Cherbourg,yes,True,1,1,1,35.5
0,3,1,21.0,1,0,9.825,0,Third,woman,False,,Southampton,no,False,3,2,0,4.9125
0,3,0,28.5,8,2,69.55,0,Third,man,True,,Southampton,no,False,1,11,0,6.3227
0,1,0,56.0,0,0,26.55,0,First,man,True,,Southampton,no,True,1,1,1,26.55
0,3,0,21.0,0,0,7.8,0,Third,man,True,,Southampton,no,True,1,1,1,7.8
1,1,1,33.0,1,0,90.0,2,First,woman,False,C,Queenstown,yes,False,3,2,0,45.0
0,3,0,21.0,0,0,7.7333,2,Third,man,True,,Queenstown,no,True,1,1,1,7.7333
0,3,0,28.5,0,0,7.25,0,Third,man,True,,Southampton,no,True,1,1,1,7.25
0,3,0,43.0,0,0,6.45,0,Third,man,True,,Southampton,no,True,1,1,1,6.45
0,3,1,28.5,3,1,25.4667,0,Third,woman,False,,Southampton,no,False,3,5,0,5.0933
0,3,0,30.0,1,0,16.1,0,Third,man,True,,Southampton,no,False,1,2,0,8.05
1,1,1,32.0,0,0,76.2917,1,First,woman,False,D,Cherbourg,yes,True,3,1,1,76.2917
1,1,1,28.5,0,0,79.2,1,First,woman,False,,Cherbourg,yes,True,3,1,1,79.2
1,2,0,19.0,0,0,10.5,0,Second,man,True,,Southampton,yes,True,1,1,1,10.5
0,3,0,24.0,0,0,7.8958,0,Third,man,True,,Southampton,no,True,1,1,1,7.8958
1,2,1,45.0,0,0,13.5,0,Second,woman,False,,Southampton,yes,True,3,1,1,13.5
0,3,0,23.0,0,0,7.8958,0,Third,man,True,,Southampton,no,True,1,1,1,7.8958
0,3,0,42.0,0,1,8.4042,0,Third,man,True,,Southampton,no,False,1,2,0,4.2021
1,1,1,39.0,1,1,83.1583,1,First,woman,False,E,Cherbourg,yes,False,3,3,0,27.7194
1,3,0,16.0,0,0,8.05,0,Third,man,True,,Southampton,yes,True,1,1,1,8.05
0,3,0,28.5,0,0,7.8958,0,Third,man,True,,Southampton,no,True,1,1,1,7.8958
0,2,0,66.0,0,0,10.5,0,Second,man,True,,Southampton,no,True,1,1,1,10.5
1,1,0,28.0,0,0,26.55,0,First,man,True,C,Southampton,yes,True,1,1,1,26.55
0,2,0,51.0,0,0,12.525,0,Second,man,True,,Southampton,no,True,1,1,1,12.525
0,2,0,47.0,0,0,15.0,0,Second,man,True,,Southampton,no,True,1,1,1,15.0
1,3,0,18.0,0,0,8.05,0,Third,man,True,,Southampton,yes,True,1,1,1,8.05
0,2,0,36.0,0,0,13.0,0,Second,man,True,,Southampton,no,True,1,1,1,13.0
1,2,1,30.0,0,0,13.0,0,Second,woman,False,,Southampton,yes,True,3,1,1,13.0
1,2,1,22.0,1,1,29.0,0,Second,woman,False,,Southampton,yes,False,3,3,0,9.6667
0,3,1,28.5,0,0,7.75,2,Third,woman,False,,Queenstown,no,True,3,1,1,7.75
0,2,0,25.0,0,0,13.0,0,Second,man,True,,Southampton,no,True,1,1,1,13.0
0,3,0,28.5,0,0,7.2292,1,Third,man,True,,Cherbourg,no,True,1,1,1,7.2292
1,2,1,32.0,0,0,13.0,0,Second,woman,False,,Southampton,yes,True,3,1,1,13.0
1,3,0,28.5,0,0,7.775,0,Third,man,True,,Southampton,yes,True,1,1,1,7.775
1,3,1,19.0,1,0,7.8542,0,Third,woman,False,,Southampton,yes,False,3,2,0,3.9271
1,1,0,52.0,0,0,30.5,0,First,man,True,C,Southampton,yes,True,1,1,1,30.5
0,1,0,71.0,0,0,34.6542,1,First,man,True,A,Cherbourg,no,True,1,1,1,34.6542
0,3,0,32.0,0,0,7.925,0,Third,man,True,,Southampton,no,True,1,1,1,7.925
0,3,0,19.0,0,0,7.65,0,Third,man,True,F,Southampton,no,True,1,1,1,7.65
0,3,0,28.5,1,0,15.5,2,Third,man,True,,Queenstown,no,False,1,2,0,7.75
0,3,1,22.0,0,0,9.8375,0,Third,woman,False,,Southampton,no,True,3,1,1,9.8375
0,1,0,50.0,1,0,55.9,0,First,man,True,E,Southampton,no,False,1,2,0,27.95
0,3,0,4.0,3,2,27.9,0,Third,child,False,,Southampton,no,False,4,6,0,4.65
1,1,1,36.0,1,2,120.0,0,First,woman,False,B,Southampton,yes,False,3,4,0,30.0
0,1,0,19.0,1,0,53.1,0,First,man,True,D,Southampton,no,False,1,2,0,26.55
1,1,1,30.0,0,0,31.0,1,First,woman,False,,Cherbourg,yes,True,3,1,1,31.0
1,3,0,28.5,0,0,56.4958,0,Third,man,True,,Southampton,yes,True,1,1,1,56.4958
0,3,0,30.0,0,0,7.25,0,Third,man,True,,Southampton,no,True,1,1,1,7.25
0,3,0,21.0,0,0,8.05,0,Third,man,True,,Southampton,no,True,1,1,1,8.05
0,2,0,30.0,1,0,24.0,1,Second,man,True,,Cherbourg,no,False,1,2,0,12.0
1,2,1,18.0,0,1,23.0,0,Second,woman,False,,Southampton,yes,False,3,2,0,11.5
0,3,0,19.0,0,0,0.0,0,Third,man,True,,Southampton,no,True,1,1,1,0.0
1,1,1,38.0,0,0,227.525,1,First,woman,False,C,Cherbourg,yes,True,3,1,1,227.525
0,3,0,10.0,3,2,27.9,0,Third,child,False,,Southampton,no,False,4,6,0,4.65
0,2,0,28.5,0,0,0.0,0,Second,man,True,,Southampton,no,True,1,1,1,0.0
0,3,1,29.0,1,1,10.4625,0,Third,woman,False,G,Southampton,no,False,3,3,0,3.4875
0,3,0,28.5,0,0,7.3125,0,Third,man,True,,Southampton,no,True,1,1,1,7.3125
0,3,0,28.0,1,0,15.85,0,Third,man,True,,Southampton,no,False,1,2,0,7.925
0,3,1,39.0,1,5,31.275,0,Third,woman,False,,Southampton,no,False,3,7,0,4.4679
0,3,1,2.0,0,1,10.4625,0,Third,child,False,G,Southampton,no,False,2,2,0,5.2312
0,2,0,30.0,0,0,10.5,0,Second,man,True,,Southampton,no,True,1,1,1,10.5
0,3,0,25.0,0,0,7.225,1,Third,man,True,,Cherbourg,no,True,1,1,1,7.225
0,3,0,14.0,4,1,39.6875,0,Third,child,False,,Southampton,no,False,4,6,0,6.6146
1,1,1,35.0,1,0,52.0,0,First,woman,False,,Southampton,yes,False,3,2,0,26.0
1,1,0,17.0,0,2,110.8833,1,First,man,True,C,Cherbourg,yes,False,1,3,0,36.9611
0,3,0,28.5,0,0,7.725,2,Third,man,True,,Queenstown,no,True,1,1,1,7.725
0,3,1,18.0,0,0,6.75,2,Third,woman,False,,Queenstown,no,True,3,1,1,6.75
1,3,1,23.0,0,0,7.55,0,Third,woman,False,,Southampton,yes,True,3,1,1,7.55
0,3,0,50.0,0,0,8.05,0,Third,man,True,,Southampton,no,True,1,1,1,8.05
1,1,1,21.0,2,2,262.375,1,First,woman,False,B,Cherbourg,yes,False,3,5,0,52.475
1,1,1,58.0,0,0,146.5208,1,First,woman,False,B,Cherbourg,yes,True,3,1,1,146.5208
1,2,1,3.0,1,2,41.5792,1,Second,child,False,,Cherbourg,yes,False,2,4,0,10.3948
1,2,1,13.0,0,1,19.5,0,Second,child,False,,Southampton,yes,False,2,2,0,9.75
0,2,0,57.0,0,0,12.35,2,Second,man,True,,Queenstown,no,True,1,1,1,12.35
0,2,0,16.0,0,0,26.0,0,Second,man,True,,Southampton,no,True,1,1,1,26.0
1,3,1,28.5,0,0,7.75,2,Third,woman,False,,Queenstown,yes,True,3,1,1,7.75
0,2,0,60.0,1,1,39.0,0,Second,man,True,,Southampton,no,False,1,3,0,13.0
0,1,0,22.0,0,0,135.6333,1,First,man,True,,Cherbourg,no,True,1,1,1,135.6333
0,2,0,30.0,0,0,13.0,0,Second,man,True,,Southampton,no,True,1,1,1,13.0
0,3,0,17.0,0,0,8.6625,0,Third,man,True,,Southampton,no,True,1,1,1,8.6625
0,3,0,25.0,0,0,7.8958,0,Third,man,True,,Southampton,no,True,1,1,1,7.8958
1,3,0,27.0,0,0,8.6625,0,Third,man,True,,Southampton,yes,True,1,1,1,8.6625
0,3,0,36.0,0,0,0.0,0,Third,man,True,,Southampton,no,True,1,1,1,0.0
0,3,1,28.5,0,0,8.05,0,Third,woman,False,,Southampton,no,True,3,1,1,8.05
1,3,1,28.5,0,0,7.2292,1,Third,woman,False,,Cherbourg,yes,True,3,1,1,7.2292
0,3,0,29.0,0,0,9.4833,0,Third,man,True,,Southampton,no,True,1,1,1,9.4833
1,1,1,30.0,0,0,106.425,1,First,woman,False,,Cherbourg,yes,True,3,1,1,106.425
0,3,0,28.5,0,0,8.05,0,Third,man,True,,Southampton,no,True,1,1,1,8.05
0,1,0,51.0,0,1,61.3792,1,First,man,True,,Cherbourg,no,False,1,2,0,30.6896
1,3,1,16.0,0,0,7.7333,2,Third,woman,False,,Queenstown,yes,True,2,1,1,7.7333
1,3,1,28.5,0,0,7.75,2,Third,woman,False,,Queenstown,yes,True,3,1,1,7.75
1,3,1,1.0,0,2,15.7417,1,Third,child,False,,Cherbourg,yes,False,2,3,0,5.2472
0,3,0,22.0,0,0,7.7958,0,Third,man,True,,Southampton,no,True,1,1,1,7.7958
1,3,1,28.5,1,1,22.3583,1,Third,woman,False,F,Cherbourg,yes,False,3,3,0,7.4528
0,3,0,7.0,4,1,29.125,2,Third,child,False,,Queenstown,no,False,4,6,0,4.8542
1,1,0,28.5,0,0,30.5,0,First,man,True,C,Southampton,yes,True,1,1,1,30.5
0,3,0,28.5,1,0,7.75,2,Third,man,True,,Queenstown,no,False,1,2,0,3.875
1,1,1,33.0,1,0,53.1,0,First,woman,False,E,Southampton,yes,False,3,2,0,26.55
0,3,0,7.0,4,1,39.6875,0,Third,child,False,,Southampton,no,False,4,6,0,6.6146
0,3,0,32.0,0,0,7.75,2,Third,man,True,,Queenstown,no,True,1,1,1,7.75
0,2,0,50.0,0,0,13.0,0,Second,man,True,,Southampton,no,True,1,1,1,13.0
0,2,0,59.0,0,0,13.5,0,Second,man,True,,Southampton,no,True,1,1,1,13.5
0,1,0,28.0,1,0,82.1708,1,First,man,True,,Cherbourg,no,False,1,2,0,41.0854
0,3,0,28.5,0,0,8.05,0,Third,man,True,,Southampton,no,True,1,1,1,8.05
0,1,0,60.0,0,0,26.55,0,First,man,True,,Southampton,no,True,1,1,1,26.55
0,3,1,17.0,0,0,14.4583,1,Third,woman,False,,Cherbourg,no,True,2,1,1,14.4583
0,2,0,32.5,1,0,30.0708,1,Second,man,True,,Cherbourg,no,False,1,2,0,15.0354
1,1,1,21.0,0,0,77.9583,0,First,woman,False,D,Southampton,yes,True,3,1,1,77.9583
1,3,0,3.0,4,2,31.3875,0,Third,child,False,,Southampton,yes,False,4,7,0,4.4839
0,2,0,19.0,0,0,10.5,0,Second,man,True,,Southampton,no,True,1,1,1,10.5
1,2,1,24.0,2,3,18.75,0,Second,woman,False,,Southampton,yes,False,3,6,0,3.125
1,1,1,18.0,0,2,79.65,0,First,woman,False,E,Southampton,yes,False,3,3,0,26.55
1,1,1,49.0,0,0,25.9292,0,First,woman,False,D,Southampton,yes,True,3,1,1,25.9292
0,3,1,41.0,0,2,20.2125,0,Third,woman,False,,Southampton,no,False,3,3,0,6.7375
1,3,0,30.0,0,0,9.5,0,Third,man,True,,Southampton,yes,True,1,1,1,9.5
0,3,0,59.0,0,0,7.25,0,Third,man,True,,Southampton,no,True,1,1,1,7.25
1,3,1,4.0,0,1,13.4167,1,Third,child,False,,Cherbourg,yes,False,2,2,0,6.7084
0,3,1,28.5,0,2,15.2458,1,Third,woman,False,,Cherbourg,no,False,3,3,0,5.0819
0,3,0,51.0,0,0,7.75,0,Third,man,True,,Southampton,no,True,1,1,1,7.75
1,2,1,45.0,1,1,26.25,0,Second,woman,False,,Southampton,yes,False,3,3,0,8.75
0,3,0,18.0,1,1,20.2125,0,Third,man,True,,Southampton,no,False,1,3,0,6.7375
0,3,1,28.5,8,2,69.55,0,Third,woman,False,,Southampton,no,False,3,11,0,6.3227
1,3,1,28.5,1,0,15.5,2,Third,woman,False,,Queenstown,yes,False,3,2,0,7.75
0,2,0,28.0,0,1,33.0,0,Second,man,True,,Southampton,no,False,1,2,0,16.5
0,3,0,55.5,0,0,8.05,0,Third,man,True,,Southampton,no,True,1,1,1,8.05
0,1,0,24.0,0,1,247.5208,1,First,man,True,B,Cherbourg,no,False,1,2,0,123.7604
0,1,0,28.5,0,0,0.0,0,First,man,True,,Southampton,no,True,1,1,1,0.0
1,3,1,28.5,1,0,16.1,0,Third,woman,False,,Southampton,yes,False,3,2,0,8.05
0,3,0,28.5,1,2,23.45,0,Third,man,True,,Southampton,no,False,1,4,0,5.8625
0,3,0,28.5,8,2,69.55,0,Third,man,True,,Southampton,no,False,1,11,0,6.3227
1,2,1,29.0,1,0,26.0,0,Second,woman,False,,Southampton,yes,False,3,2,0,13.0
1,1,1,58.0,0,1,153.4625,0,First,woman,False,C,Southampton,yes,False,3,2,0,76.7312
1,3,1,26.0,0,0,7.925,0,Third,woman,False,,Southampton,yes,True,3,1,1,7.925
1,1,1,44.0,0,1,57.9792,1,First,woman,False,B,Cherbourg,yes,False,3,2,0,28.9896
0,3,0,28.5,0,0,7.225,1,Third,man,True,,Cherbourg,no,True,1,1,1,7.225
0,3,0,32.0,0,0,8.3625,0,Third,man,True,,Southampton,no,True,1,1,1,8.3625
0,2,0,26.0,0,0,10.5,0,Second,man,True,,Southampton,no,True,1,1,1,10.5
0,3,0,16.0,0,0,8.05,0,Third,man,True,,Southampton,no,True,1,1,1,8.05
0,3,0,19.0,0,0,7.775,0,Third,man,True,,Southampton,no,True,1,1,1,7.775
0,3,0,28.5,0,0,7.8958,0,Third,man,True,,Southampton,no,True,1,1,1,7.8958
0,3,0,48.0,0,0,7.8542,0,Third,man,True,,Southampton,no,True,1,1,1,7.8542
0,3,0,28.5,0,0,7.75,2,Third,man,True,,Queenstown,no,True,1,1,1,7.75
0,3,0,9.0,5,2,46.9,0,Third,child,False,,Southampton,no,False,4,8,0,5.8625
1,1,1,35.0,1,0,83.475,0,First,woman,False,C,Southampton,yes,False,3,2,0,41.7375
1,3,0,12.0,1,0,11.2417,1,Third,child,False,,Cherbourg,yes,False,4,2,0,5.6208
0,3,1,31.0,0,0,7.8542,0,Third,woman,False,,Southampton,no,True,3,1,1,7.8542
1,2,1,27.0,1,0,13.8583,1,Second,woman,False,,Cherbourg,yes,False,3,2,0,6.9292
1,1,1,43.0,0,1,211.3375,0,First,woman,False,B,Southampton,yes,False,3,2,0,105.6688
0,3,1,30.5,0,0,7.75,2,Third,woman,False,,Queenstown,no,True,3,1,1,7.75
0,3,0,34.0,0,0,8.05,0,Third,man,True,,Southampton,no,True,1,1,1,8.05
0,2,0,28.5,0,0,0.0,0,Second,man,True,,Southampton,no,True,1,1,1,0.0
0,2,0,23.0,0,0,13.0,0,Second,man,True,,Southampton,no,True,1,1,1,13.0
1,3,1,24.0,0,2,16.7,0,Third,woman,False,G,Southampton,yes,False,3,3,0,5.5667
0,2,0,39.0,0,0,26.0,0,Second,man,True,,Southampton,no,True,1,1,1,26.0
1,2,1,24.0,0,0,13.0,0,Second,woman,False,F,Southampton,yes,True,3,1,1,13.0
0,3,0,28.5,0,0,7.8292,2,Third,man,True,,Queenstown,no,True,1,1,1,7.8292
1,3,1,0.75,2,1,19.2583,1,Third,child,False,,Cherbourg,yes,False,2,4,0,4.8146
0,2,0,34.0,0,0,13.0,0,Second,man,True,,Southampton,no,True,1,1,1,13.0
0,3,0,23.0,0,0,9.225,0,Third,man,True,,Southampton,no,True,1,1,1,9.225
1,2,1,42.0,1,0,26.0,0,Second,woman,False,,Southampton,yes,False,3,2,0,13.0
0,3,0,28.5,0,0,8.4583,2,Third,man,True,,Queenstown,no,True,1,1,1,8.4583
0,3,0,22.0,0,0,8.05,0,Third,man,True,,Southampton,no,True,1,1,1,8.05
1,2,0,0.83,0,2,29.0,0,Second,child,False,,Southampton,yes,False,4,3,0,9.6667
0,3,1,28.5,0,0,7.55,0,Third,woman,False,,Southampton,no,True,3,1,1,7.55
0,2,0,52.0,0,0,13.5,0,Second,man,True,,Southampton,no,True,1,1,1,13.5
0,3,0,17.0,1,0,7.0542,0,Third,man,True,,Southampton,no,False,1,2,0,3.5271
1,1,0,49.0,1,0,89.1042,1,First,man,True,C,Cherbourg,yes,False,1,2,0,44.5521
1,3,0,44.0,0,0,7.925,0,Third,man,True,,Southampton,yes,True,1,1,1,7.925
1,3,0,6.0,0,1,12.475,0,Third,child,False,E,Southampton,yes,False,4,2,0,6.2375
0,1,0,64.0,0,0,26.0,0,First,man,True,,Southampton,no,True,1,1,1,26.0
0,3,1,18.0,0,0,7.775,0,Third,woman,False,,Southampton,no,True,3,1,1,7.775
0,3,0,19.0,0,0,14.5,0,Third,man,True,,Southampton,no,True,1,1,1,14.5
0,3,0,26.0,1,2,20.575,0,Third,man,True,,Southampton,no,False,1,4,0,5.1438
0,2,0,43.0,1,1,26.25,0,Second,man,True,,Southampton,no,False,1,3,0,8.75
0,3,0,28.5,0,0,24.15,2,Third,man,True,,Queenstown,no,True,1,1,1,24.15
0,3,1,23.0,0,0,7.925,0,Third,woman,False,,Southampton,no,True,3,1,1,7.925
0,3,0,16.0,4,1,39.6875,0,Third,man,True,,Southampton,no,False,1,6,0,6.6146
1,1,1,36.0,0,2,71.0,0,First,woman,False,B,Southampton,yes,False,3,3,0,23.6667
1,1,1,22.0,0,1,55.0,0,First,woman,False,E,Southampton,yes,False,3,2,0,27.5
0,3,0,19.0,0,0,7.8958,0,Third,man,True,,Southampton,no,True,1,1,1,7.8958
1,3,1,28.5,0,0,7.8792,2,Third,woman,False,,Queenstown,yes,True,3,1,1,7.8792
0,3,0,47.0,0,0,9.0,0,Third,man,True,,Southampton,no,True,1,1,1,9.0
1,2,1,40.0,0,0,15.75,0,Second,woman,False,,Southampton,yes,True,3,1,1,15.75
0,3,1,20.0,1,0,9.825,0,Third,woman,False,,Southampton,no,False,3,2,0,4.9125
1,2,1,36.0,1,0,26.0,0,Second,woman,False,,Southampton,yes,False,3,2,0,13.0
0,3,0,18.0,1,1,7.8542,0,Third,man,True,,Southampton,no,False,1,3,0,2.6181
0,2,0,18.0,0,0,11.5,0,Second,man,True,,Southampton,no,True,1,1,1,11.5
1,3,0,32.0,0,0,56.4958,0,Third,man,True,,Southampton,yes,True,1,1,1,56.4958
0,3,0,33.0,0,0,7.8958,1,Third,man,True,,Cherbourg,no,True,1,1,1,7.8958
1,1,0,35.0,0,0,26.55,1,First,man,True,,Cherbourg,yes,True,1,1,1,26.55
0,1,0,64.0,1,4,263.0,0,First,man,True,C,Southampton,no,False,1,6,0,43.8333
0,1,0,52.0,1,1,79.65,0,First,man,True,E,Southampton,no,False,1,3,0,26.55
1,3,1,24.0,0,3,19.2583,1,Third,woman,False,,Cherbourg,yes,False,3,4,0,4.8146
0,3,0,61.0,0,0,6.2375,0,Third,man,True,,Southampton,no,True,1,1,1,6.2375
0,2,0,24.0,0,0,10.5,0,Second,man,True,,Southampton,no,True,1,1,1,10.5
0,3,0,43.0,0,0,8.05,0,Third,man,True,,Southampton,no,True,1,1,1,8.05
1,2,1,34.0,0,0,10.5,0,Second,woman,False,F,Southampton,yes,True,3,1,1,10.5
1,3,1,63.0,0,0,9.5875,0,Third,woman,False,,Southampton,yes,True,3,1,1,9.5875
1,1,1,24.0,0,0,69.3,1,First,woman,False,B,Cherbourg,yes,True,3,1,1,69.3
1,1,1,38.0,1,0,71.2833,1,First,woman,False,C,Cherbourg,yes,False,3,2,0,35.6416
0,3,0,21.0,0,0,7.25,0,Third,man,True,,Southampton,no,True,1,1,1,7.25
1,1,1,45.0,1,1,164.8667,0,First,woman,False,,Southampton,yes,False,3,3,0,54.9556
0,3,0,16.0,1,3,34.375,0,Third,man,True,,Southampton,no,False,1,5,0,6.875
1,3,0,20.0,1,0,7.925,0,Third,man,True,,Southampton,yes,False,1,2,0,3.9625
0,2,0,28.5,0,0,15.05,1,Second,man,True,,Cherbourg,no,True,1,1,1,15.05
0,3,1,41.0,0,5,39.6875,0,Third,woman,False,,Southampton,no,False,3,6,0,6.6146
0,2,0,30.0,0,0,13.0,0,Second,man,True,,Southampton,no,True,1,1,1,13.0
0,3,0,29.0,0,0,8.05,0,Third,man,True,,Southampton,no,True,1,1,1,8.05
0,3,1,3.0,3,1,21.075,0,Third,child,False,,Southampton,no,False,2,5,0,4.215
1,2,0,3.0,1,1,26.0,0,Second,child,False,F,Southampton,yes,False,4,3,0,8.6667
0,2,0,54.0,1,0,26.0,0,Second,man,True,,Southampton,no,False,1,2,0,13.0
0,3,0,28.0,2,0,7.925,0,Third,man,True,,Southampton,no,False,1,3,0,2.6417
0,3,0,36.0,0,0,7.4958,0,Third,man,True,,Southampton,no,True,1,1,1,7.4958
1,1,0,48.0,0,0,26.55,0,First,man,True,E,Southampton,yes,True,1,1,1,26.55
1,3,1,31.0,0,0,8.6833,0,Third,woman,False,,Southampton,yes,True,3,1,1,8.6833
0,3,0,26.0,0,0,7.8958,0,Third,man,True,,Southampton,no,True,1,1,1,7.8958
0,3,0,28.5,3,1,25.4667,0,Third,man,True,,Southampton,no,False,1,5,0,5.0933
1,3,0,0.42,0,1,8.5167,1,Third,child,False,,Cherbourg,yes,False,4,2,0,4.2584
0,3,1,25.0,0,0,7.775,0,Third,woman,False,,Southampton,no,True,3,1,1,7.775
0,1,0,28.5,0,0,52.0,0,First,man,True,A,Southampton,no,True,1,1,1,52.0
0,3,0,38.0,0,0,8.6625,0,Third,man,True,,Southampton,no,True,1,1,1,8.6625
0,3,0,28.5,0,0,8.05,0,Third,man,True,,Southampton,no,True,1,1,1,8.05
1,3,0,28.5,1,1,15.2458,1,Third,man,True,,Cherbourg,yes,False,1,3,0,5.0819
0,3,0,15.0,1,1,7.2292,1,Third,child,False,,Cherbourg,no,False,1,3,0,2.4097
0,2,0,35.0,0,0,26.0,0,Second,man,True,,Southampton,no,True,1,1,1,26.0
